Seq_ID,Original_ID,box_loc,Sample_Type,Sample_source,collection_date,CT,starting_quant,Template_dilution,Primer_Conc,NGS_Prep_Method,amp_date,NGS_primers,NGS_Run_ID,NGS_Date,Qubit_Pool1,Qubit_Pool2,Qubit_library,Reference_Genome,Lineage,%Coverage_(20x),Samtool_avg _depth,BEDfile
Yale-TB152,AFB3 + 444-2281-18 e-3,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB153,AFB4 + 444-2281-18 e-3,,Sputum extract,YNHH,,NaN, ,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB154,AFB5 + 444-2281-18 e-3,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB155,AFB6,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB156,AFB7,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB157,AFB8,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/10/24,,,,,,,,
Yale-TB158,AFB9,,Sputum extract,YNHH,,NaN,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB159,NTC,,Water,,,,,,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB004,6/11/24,,,,,,,,
Yale-TB160,Peru-41,,Sputum extract,Cayetano,,19.34,154839.733,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,142,130,,,lineage4.1.1;lineage4.10,87.84,,
Yale-TB161,Peru-42,,Sputum extract,Cayetano,,18.6,256626.25,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,103,102,,,lineage4.3.2,97.79,,
Yale-TB162,Peru-43,,Sputum extract,Cayetano,,20.49,70311.609,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,113,109,,,lineage4.1.2.1,96.27,,
Yale-TB163,Peru-44,,Sputum extract,Cayetano,,20.47,71332.6551,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,93.2,99.4,,,lineage4.1.1,98.06,,
Yale-TB164,Peru-45,,Sputum extract,Cayetano,,21.68,31163.203,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,89,82.4,,,lineage4.3.2,97.45,,
Yale-TB165,Peru-46,,Sputum extract,Cayetano,,19.13,178117.826,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,121,113,,,lineage4.10;lineage4.3,33.66,,
Yale-TB166,Peru-47,,Sputum extract,Cayetano,,26.96,842.412762,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,82.2,79.4,,,lineage4.10,78.85,,
Yale-TB167,Peru-48,,Sputum extract,Cayetano,,20.94,51807.2047,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,102,105,,,lineage4.3.3,96.35,,
Yale-TB168,Peru-49,,Sputum extract,Cayetano,,19.43,145411.677,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,87.2,92.6,,,lineage4.10,97.27,,
Yale-TB169,Peru-50,,Sputum extract,Cayetano,,20.83,55663.3961,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,92.4,89,,,lineage4.3.2,96.75,,
Yale-TB170,Peru-51,,Sputum extract,Cayetano,,18.66,245859.188,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,99.6,100,,,lineage4.1.1,97.88,,
Yale-TB171,Peru-52,,Sputum extract,Cayetano,,18.32,310986.314,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,98.6,98.6,,,lineage4.3.2,98.17,,
Yale-TB172,Peru-53,,Sputum extract,Cayetano,,20.77,58066.6339,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,116,113,,,lineage4.1.2.1;lineage4.10,87.87,,
Yale-TB173,Peru-54,,Sputum extract,Cayetano,,20.42,73951.0446,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,104,93.4,,,lineage4.10,57.01,,
Yale-TB174,Peru-55,,Sputum extract,Cayetano,,22.06,24021.5074,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,84.6,83.4,,,lineage4.3.2,97.12,,
Yale-TB175,Peru-56,,Sputum extract,Cayetano,,18.59,257744.585,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,116,108,,,lineage4.10,33.81,,
Yale-TB176,Peru-57,,Sputum extract,Cayetano,,26.98,828.871049,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,99.6,90.2,,,lineage4,66.23,,
Yale-TB177,Peru-58,,Sputum extract,Cayetano,,21.59,33249.8121,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,88.8,70,,,lineage4.10,58.29,,
Yale-TB178,Peru-59,,Sputum extract,Cayetano,,18.27,321880.962,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,104,104,,,lineage4.10,97.61,,
Yale-TB179,Peru-60,,Sputum extract,Cayetano,,20.59,65844.3836,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,137,122,,,lineage4.10;lineage4.3.2,55.06,,
Yale-TB180,NTC_005,,Water,,,,,,200uM,Mpox/Hybrid CovidSeq,7/10/24,TBv1.1,TB005,7/11/24,140,127,,,Unknown,0.06,,
