,strain,study,continent,region,lineage,spoligotype,res_profile,INH,STR,RIF,EMB,ETH,PZA,OFL,KAN,num_res,country,date,Original_ID,Sample_Type,Sample_source,CT,starting_quant,Primer_Conc,NGS_Run_ID,numreads,covbases,coverage,meandepth,mykrobe_lineage,Template_dilution,Amikacin,Capreomycin,Ciprofloxacin,Delamanid,Levofloxacin,Linezolid,Moxifloxacin,NA
1384,ERR108423,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,ERR108447,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,1,0,0,0,4,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,ERR108457,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T2,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,ERR108464,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T1,polyDR,1,1,0,0,0,0,0,0,2,Russia,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,ERR117469,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,ERR133799,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,ERR133804,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,ERR133809,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,ERR133814,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,ERR133815,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,ERR133823,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,1,0,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1395,ERR133837,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,ERR133838,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,1,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1397,ERR133862,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,ERR133865,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,ERR133888,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,ERR133894,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,ERR133909,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T2,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,ERR133911,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,ERR133913,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,ERR133914,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,ERR133916,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1406,ERR133917,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,LAM9,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,ERR133924,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,ERR133955,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1409,ERR133963,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,ERR133968,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1411,ERR133969,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412,ERR133975,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,ERR133976,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,ERR133985,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,"T1,LAM5",polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,ERR137198,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,ERR137216,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,ERR137221,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,ERR137227,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,1,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,ERR137228,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H1,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1420,ERR137240,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,1,0,0,0,4,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,ERR137242,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,1,0,0,0,4,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,ERR137267,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,ERR144545,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1424,ERR144564,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,ERR144580,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1426,ERR144588,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427,ERR144594,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,ERR144599,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,ERR158589,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,ERR158590,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,ERR158594,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,ERR158614,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,0,0,1,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1433,ERR158615,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,ERR227980,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,ERR227997,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,ERR228014,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,ERR228040,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,ERR228044,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T1,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,ERR228045,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T2,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,ERR228048,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1441,ERR228058,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,1,0,0,0,3,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1442,ERR228066,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,ERR229935,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,ERR229957,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,ERR229963,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T1,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,ERR229967,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T1,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1447,ERR229983,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,"LAM9,LAM4",polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1448,ERR229989,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,LAM9,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449,ERR229999,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,ERR230006,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,ERR230007,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,1,0,0,0,4,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,ERR234569,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,ERR234575,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,ERR234585,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,ERR234616,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,0,0,1,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,ERR234620,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,ERR234624,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,ERR234629,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1459,ERR234645,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,ERR234651,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,ERR234662,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,ERR234683,"Casali et al., 2014",Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463,ERR234693,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464,ERR234696,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,T1,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,ERR234699,"Casali et al., 2014",Europe,Eastern_Europe,LIN-4,H3,polyDR,1,1,0,0,0,0,0,0,2,Russia,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,PRJNA234549,TBARC.Moldova,Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Moldova,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1467,PRJNA234569,TBARC.Moldova,Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,Moldova,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,PRJNA234611,TBARC.Moldova,Europe,Eastern_Europe,LIN-2,Beijing,polyDR,1,1,0,1,0,0,0,0,3,Moldova,2010-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,ERR550946,"Merker et al., 2015",Oceania,Melanesia,LIN-2,Beijing,polyDR,1,1,0,0,1,0,0,0,3,Papua New Guinea,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1470,ERR234263,"Comas et al., 2013",North_America,Northern_America,LIN-2,Beijing,polyDR,1,1,0,0,0,0,0,0,2,USA,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,ERR038294,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2007-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,ERR038295,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2007-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,ERR038296,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,ERR038297,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,ERR046784,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,ERR046785,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477,ERR046786,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,ERR046787,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,ERR046788,"Walker et al., 2013",Europe,Northern_Europe,LIN-4,T1,polyDR,0,1,1,1,0,0,1,0,4,UK,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
