sample	name	start	end	depth
Yale-TB057	Rv0701	800793	801462	3
Yale-TB057	Rv1173	1302805	1305502	3
Yale-TB057	Rv1305	1460997	1461291	0
Yale-TB057	Rv1483	1673409	1675012	10
Yale-TB057	Rv1694	1917939	1918747	1
Yale-TB057	Rv1908c	2153888	2156112	1
Yale-TB057	Rv2043c	2288676	2289272	0
Yale-TB057	Rv2416c	2714123	2715372	0
Yale-TB057	Rv2428	2726093	2726194	2
Yale-TB057	Rv2535c	2859299	2860451	3
Yale-TB057	Rv2983	3339068	3339763	0
Yale-TB057	Rv3261	3640493	3642882	1
Yale-TB057	Rv3547	3986794	3987300	1
Yale-TB057	Rv3795	4246586	4249653	2
Yale-TB057	Rv3854c	4326003	4327548	8
Yale-TB058	MTB000019	1473245	1473331	0
Yale-TB058	MTB000020	1473657	1476796	0
Yale-TB058	Rv0005	6571	6762	0
Yale-TB058	Rv0006	7360	7583	0
Yale-TB058	Rv0407	490733	491794	0
Yale-TB058	Rv0667	760307	761286	0
Yale-TB058	Rv0676c	775585	778906	0
Yale-TB058	Rv0678	778906	779488	0
Yale-TB058	Rv0701	800793	801462	0
Yale-TB058	Rv1173	1302805	1305502	0
Yale-TB058	Rv1305	1460997	1461291	0
Yale-TB058	Rv1483	1673409	1675012	0
Yale-TB058	Rv1694	1917939	1918747	0
Yale-TB058	Rv1908c	2153888	2156112	0
Yale-TB058	Rv2043c	2288676	2289272	0
Yale-TB058	Rv2416c	2714123	2715372	0
Yale-TB058	Rv2428	2726093	2726194	0
Yale-TB058	Rv2535c	2859299	2860451	0
Yale-TB058	Rv2983	3339068	3339763	0
Yale-TB058	Rv3261	3640493	3642882	0
Yale-TB058	Rv3547	3986794	3987300	0
Yale-TB058	Rv3795	4246586	4249653	0
Yale-TB058	Rv3854c	4326003	4327548	0
Yale-TB059	MTB000019	1473245	1473331	1
Yale-TB059	MTB000020	1473657	1476796	0
Yale-TB059	Rv0005	6571	6762	0
Yale-TB059	Rv0006	7360	7583	0
Yale-TB059	Rv0407	490733	491794	0
Yale-TB059	Rv0667	760307	761286	0
Yale-TB059	Rv0676c	775585	778906	0
Yale-TB059	Rv0678	778906	779488	0
Yale-TB059	Rv0701	800793	801462	0
Yale-TB059	Rv1173	1302805	1305502	0
Yale-TB059	Rv1305	1460997	1461291	0
Yale-TB059	Rv1483	1673409	1675012	0
Yale-TB059	Rv1694	1917939	1918747	0
Yale-TB059	Rv1908c	2153888	2156112	0
Yale-TB059	Rv2043c	2288676	2289272	2
Yale-TB059	Rv2416c	2714123	2715372	0
Yale-TB059	Rv2428	2726093	2726194	0
Yale-TB059	Rv2535c	2859299	2860451	0
Yale-TB059	Rv2983	3339068	3339763	0
Yale-TB059	Rv3261	3640493	3642882	0
Yale-TB059	Rv3547	3986794	3987300	0
Yale-TB059	Rv3795	4246586	4249653	0
Yale-TB059	Rv3854c	4326003	4327548	0
Yale-TB060	MTB000019	1473245	1473331	0
Yale-TB060	MTB000020	1473657	1476796	0
Yale-TB060	Rv0005	6571	6762	0
Yale-TB060	Rv0006	7360	7583	0
Yale-TB060	Rv0407	490733	491794	0
Yale-TB060	Rv0667	760307	761286	0
Yale-TB060	Rv0676c	775585	778906	0
Yale-TB060	Rv0678	778906	779488	0
Yale-TB060	Rv0701	800793	801462	0
Yale-TB060	Rv1173	1302805	1305502	0
Yale-TB060	Rv1305	1460997	1461291	0
Yale-TB060	Rv1483	1673409	1675012	0
Yale-TB060	Rv1694	1917939	1918747	0
Yale-TB060	Rv1908c	2153888	2156112	0
Yale-TB060	Rv2043c	2288676	2289272	0
Yale-TB060	Rv2416c	2714123	2715372	0
Yale-TB060	Rv2428	2726093	2726194	0
Yale-TB060	Rv2535c	2859299	2860451	0
Yale-TB060	Rv2983	3339068	3339763	0
Yale-TB060	Rv3261	3640493	3642882	0
Yale-TB060	Rv3547	3986794	3987300	0
Yale-TB060	Rv3795	4246586	4249653	0
Yale-TB060	Rv3854c	4326003	4327548	0
Yale-TB061	MTB000019	1473245	1473331	0
Yale-TB061	MTB000020	1473657	1476796	1
Yale-TB061	Rv0005	6571	6762	0
Yale-TB061	Rv0006	7360	7583	0
Yale-TB061	Rv0407	490733	491794	0
Yale-TB061	Rv0667	760307	761286	0
Yale-TB061	Rv0676c	775585	778906	0
Yale-TB061	Rv0678	778906	779488	0
Yale-TB061	Rv0701	800793	801462	0
Yale-TB061	Rv1173	1302805	1305502	0
Yale-TB061	Rv1305	1460997	1461291	0
Yale-TB061	Rv1483	1673409	1675012	0
Yale-TB061	Rv1694	1917939	1918747	0
Yale-TB061	Rv1908c	2153888	2156112	0
Yale-TB061	Rv2043c	2288676	2289272	0
Yale-TB061	Rv2416c	2714123	2715372	0
Yale-TB061	Rv2428	2726093	2726194	0
Yale-TB061	Rv2535c	2859299	2860451	0
Yale-TB061	Rv2983	3339068	3339763	0
Yale-TB061	Rv3261	3640493	3642882	0
Yale-TB061	Rv3547	3986794	3987300	0
Yale-TB061	Rv3795	4246586	4249653	0
Yale-TB061	Rv3854c	4326003	4327548	0
Yale-TB062	MTB000019	1473245	1473331	4
Yale-TB062	MTB000020	1473657	1476796	4
Yale-TB062	Rv0005	6571	6762	0
Yale-TB062	Rv0006	7360	7583	0
Yale-TB062	Rv0407	490733	491794	0
Yale-TB062	Rv0667	760307	761286	0
Yale-TB062	Rv0676c	775585	778906	0
Yale-TB062	Rv0678	778906	779488	0
Yale-TB062	Rv0701	800793	801462	0
Yale-TB062	Rv1173	1302805	1305502	0
Yale-TB062	Rv1305	1460997	1461291	0
Yale-TB062	Rv1483	1673409	1675012	0
Yale-TB062	Rv1694	1917939	1918747	0
Yale-TB062	Rv1908c	2153888	2156112	0
Yale-TB062	Rv2043c	2288676	2289272	0
Yale-TB062	Rv2416c	2714123	2715372	0
Yale-TB062	Rv2428	2726093	2726194	0
Yale-TB062	Rv2535c	2859299	2860451	0
Yale-TB062	Rv2983	3339068	3339763	0
Yale-TB062	Rv3261	3640493	3642882	0
Yale-TB062	Rv3547	3986794	3987300	0
Yale-TB062	Rv3795	4246586	4249653	0
Yale-TB062	Rv3854c	4326003	4327548	0
Yale-TB063	MTB000019	1473245	1473331	197
Yale-TB063	MTB000020	1473657	1476796	78
Yale-TB063	Rv0005	6571	6762	63
Yale-TB063	Rv0006	7360	7583	720
Yale-TB063	Rv0407	490733	491794	324
Yale-TB063	Rv0667	760307	761286	926
Yale-TB063	Rv0676c	775585	778906	384
Yale-TB063	Rv0678	778906	779488	139
Yale-TB063	Rv0701	800793	801462	311
Yale-TB063	Rv1173	1302805	1305502	1174
Yale-TB063	Rv1305	1460997	1461291	46
Yale-TB063	Rv1483	1673409	1675012	262
Yale-TB063	Rv1694	1917939	1918747	788
Yale-TB063	Rv1908c	2153888	2156112	209
Yale-TB063	Rv2043c	2288676	2289272	1823
Yale-TB063	Rv2416c	2714123	2715372	321
Yale-TB063	Rv2428	2726093	2726194	517
Yale-TB063	Rv2535c	2859299	2860451	140
Yale-TB063	Rv2983	3339068	3339763	602
Yale-TB063	Rv3261	3640493	3642882	199
Yale-TB063	Rv3547	3986794	3987300	646
Yale-TB063	Rv3795	4246586	4249653	323
Yale-TB063	Rv3854c	4326003	4327548	330
Yale-TB064	MTB000019	1473245	1473331	219
Yale-TB064	MTB000020	1473657	1476796	118
Yale-TB064	Rv0005	6571	6762	425
Yale-TB064	Rv0006	7360	7583	1323
Yale-TB064	Rv0407	490733	491794	1644
Yale-TB064	Rv0667	760307	761286	1799
Yale-TB064	Rv0676c	775585	778906	998
Yale-TB064	Rv0678	778906	779488	227
Yale-TB064	Rv0701	800793	801462	386
Yale-TB064	Rv1173	1302805	1305502	2112
Yale-TB064	Rv1305	1460997	1461291	156
Yale-TB064	Rv1483	1673409	1675012	836
Yale-TB064	Rv1694	1917939	1918747	1119
Yale-TB064	Rv1908c	2153888	2156112	400
Yale-TB064	Rv2043c	2288676	2289272	2561
Yale-TB064	Rv2416c	2714123	2715372	324
Yale-TB064	Rv2428	2726093	2726194	617
Yale-TB064	Rv2535c	2859299	2860451	308
Yale-TB064	Rv2983	3339068	3339763	384
Yale-TB064	Rv3261	3640493	3642882	397
Yale-TB064	Rv3547	3986794	3987300	667
Yale-TB064	Rv3795	4246586	4249653	627
Yale-TB064	Rv3854c	4326003	4327548	1214
Yale-TB065	MTB000019	1473245	1473331	103
Yale-TB065	MTB000020	1473657	1476796	73
Yale-TB065	Rv0005	6571	6762	777
Yale-TB065	Rv0006	7360	7583	903
Yale-TB065	Rv0407	490733	491794	1366
Yale-TB065	Rv0667	760307	761286	1856
Yale-TB065	Rv0676c	775585	778906	889
Yale-TB065	Rv0678	778906	779488	161
Yale-TB065	Rv0701	800793	801462	259
Yale-TB065	Rv1173	1302805	1305502	1458
Yale-TB065	Rv1305	1460997	1461291	95
Yale-TB065	Rv1483	1673409	1675012	888
Yale-TB065	Rv1694	1917939	1918747	709
Yale-TB065	Rv1908c	2153888	2156112	254
Yale-TB065	Rv2043c	2288676	2289272	2010
Yale-TB065	Rv2416c	2714123	2715372	186
Yale-TB065	Rv2428	2726093	2726194	422
Yale-TB065	Rv2535c	2859299	2860451	266
Yale-TB065	Rv2983	3339068	3339763	125
Yale-TB065	Rv3261	3640493	3642882	252
Yale-TB065	Rv3547	3986794	3987300	375
Yale-TB065	Rv3795	4246586	4249653	353
Yale-TB065	Rv3854c	4326003	4327548	1153
Yale-TB066	MTB000019	1473245	1473331	38
Yale-TB066	MTB000020	1473657	1476796	33
Yale-TB066	Rv0005	6571	6762	768
Yale-TB066	Rv0006	7360	7583	191
Yale-TB066	Rv0407	490733	491794	437
Yale-TB066	Rv0667	760307	761286	446
Yale-TB066	Rv0676c	775585	778906	369
Yale-TB066	Rv0678	778906	779488	37
Yale-TB066	Rv0701	800793	801462	84
Yale-TB066	Rv1173	1302805	1305502	252
Yale-TB066	Rv1305	1460997	1461291	54
Yale-TB066	Rv1483	1673409	1675012	388
Yale-TB066	Rv1694	1917939	1918747	120
Yale-TB066	Rv1908c	2153888	2156112	89
Yale-TB066	Rv2043c	2288676	2289272	390
Yale-TB066	Rv2416c	2714123	2715372	30
Yale-TB066	Rv2428	2726093	2726194	75
Yale-TB066	Rv2535c	2859299	2860451	63
Yale-TB066	Rv2983	3339068	3339763	14
Yale-TB066	Rv3261	3640493	3642882	64
Yale-TB066	Rv3547	3986794	3987300	82
Yale-TB066	Rv3795	4246586	4249653	76
Yale-TB066	Rv3854c	4326003	4327548	440
Yale-TB067	MTB000019	1473245	1473331	24
Yale-TB067	MTB000020	1473657	1476796	93
Yale-TB067	Rv0005	6571	6762	1836
Yale-TB067	Rv0006	7360	7583	280
Yale-TB067	Rv0407	490733	491794	115
Yale-TB067	Rv0667	760307	761286	525
Yale-TB067	Rv0676c	775585	778906	407
Yale-TB067	Rv0678	778906	779488	59
Yale-TB067	Rv0701	800793	801462	195
Yale-TB067	Rv1173	1302805	1305502	324
Yale-TB067	Rv1305	1460997	1461291	31
Yale-TB067	Rv1483	1673409	1675012	515
Yale-TB067	Rv1694	1917939	1918747	319
Yale-TB067	Rv1908c	2153888	2156112	105
Yale-TB067	Rv2043c	2288676	2289272	585
Yale-TB067	Rv2416c	2714123	2715372	69
Yale-TB067	Rv2428	2726093	2726194	142
Yale-TB067	Rv2535c	2859299	2860451	158
Yale-TB067	Rv2983	3339068	3339763	30
Yale-TB067	Rv3261	3640493	3642882	107
Yale-TB067	Rv3547	3986794	3987300	67
Yale-TB067	Rv3795	4246586	4249653	101
Yale-TB067	Rv3854c	4326003	4327548	356
Yale-TB068	MTB000019	1473245	1473331	1
Yale-TB068	MTB000020	1473657	1476796	9
Yale-TB068	Rv0005	6571	6762	249
Yale-TB068	Rv0006	7360	7583	27
Yale-TB068	Rv0407	490733	491794	15
Yale-TB068	Rv0667	760307	761286	19
Yale-TB068	Rv0676c	775585	778906	97
Yale-TB068	Rv0678	778906	779488	8
Yale-TB068	Rv0701	800793	801462	38
Yale-TB068	Rv1173	1302805	1305502	54
Yale-TB068	Rv1305	1460997	1461291	3
Yale-TB068	Rv1483	1673409	1675012	96
Yale-TB068	Rv1694	1917939	1918747	13
Yale-TB068	Rv1908c	2153888	2156112	6
Yale-TB068	Rv2043c	2288676	2289272	71
Yale-TB068	Rv2416c	2714123	2715372	4
Yale-TB068	Rv2428	2726093	2726194	13
Yale-TB068	Rv2535c	2859299	2860451	29
Yale-TB068	Rv2983	3339068	3339763	3
Yale-TB068	Rv3261	3640493	3642882	14
Yale-TB068	Rv3547	3986794	3987300	5
Yale-TB068	Rv3795	4246586	4249653	20
Yale-TB068	Rv3854c	4326003	4327548	51
Yale-TB069	MTB000019	1473245	1473331	0
Yale-TB069	MTB000020	1473657	1476796	2
Yale-TB069	Rv0005	6571	6762	7
Yale-TB069	Rv0006	7360	7583	9
Yale-TB069	Rv0407	490733	491794	0
Yale-TB069	Rv0667	760307	761286	4
Yale-TB069	Rv0676c	775585	778906	1
Yale-TB069	Rv0678	778906	779488	0
Yale-TB069	Rv0701	800793	801462	1
Yale-TB069	Rv1173	1302805	1305502	2
Yale-TB069	Rv1305	1460997	1461291	0
Yale-TB069	Rv1483	1673409	1675012	4
Yale-TB069	Rv1694	1917939	1918747	0
Yale-TB069	Rv1908c	2153888	2156112	0
Yale-TB069	Rv2043c	2288676	2289272	0
Yale-TB069	Rv2416c	2714123	2715372	0
Yale-TB069	Rv2428	2726093	2726194	0
Yale-TB069	Rv2535c	2859299	2860451	1
Yale-TB069	Rv2983	3339068	3339763	1
Yale-TB069	Rv3261	3640493	3642882	0
Yale-TB069	Rv3547	3986794	3987300	0
Yale-TB069	Rv3795	4246586	4249653	1
Yale-TB069	Rv3854c	4326003	4327548	3
Yale-TB070	MTB000019	1473245	1473331	0
Yale-TB070	MTB000020	1473657	1476796	0
Yale-TB070	Rv0005	6571	6762	0
Yale-TB070	Rv0006	7360	7583	0
Yale-TB070	Rv0407	490733	491794	0
Yale-TB070	Rv0667	760307	761286	0
Yale-TB070	Rv0676c	775585	778906	0
Yale-TB070	Rv0678	778906	779488	0
Yale-TB070	Rv0701	800793	801462	0
Yale-TB070	Rv1173	1302805	1305502	0
Yale-TB070	Rv1305	1460997	1461291	0
Yale-TB070	Rv1483	1673409	1675012	0
Yale-TB070	Rv1694	1917939	1918747	0
Yale-TB070	Rv1908c	2153888	2156112	0
Yale-TB070	Rv2043c	2288676	2289272	0
Yale-TB070	Rv2416c	2714123	2715372	0
Yale-TB070	Rv2428	2726093	2726194	0
Yale-TB070	Rv2535c	2859299	2860451	0
Yale-TB070	Rv2983	3339068	3339763	0
Yale-TB070	Rv3261	3640493	3642882	0
Yale-TB070	Rv3547	3986794	3987300	0
Yale-TB070	Rv3795	4246586	4249653	0
Yale-TB070	Rv3854c	4326003	4327548	0
Yale-TB071	MTB000019	1473245	1473331	0
Yale-TB071	MTB000020	1473657	1476796	2
Yale-TB071	Rv0005	6571	6762	0
Yale-TB071	Rv0006	7360	7583	0
Yale-TB071	Rv0407	490733	491794	0
Yale-TB071	Rv0667	760307	761286	0
Yale-TB071	Rv0676c	775585	778906	0
Yale-TB071	Rv0678	778906	779488	0
Yale-TB071	Rv0701	800793	801462	0
Yale-TB071	Rv1173	1302805	1305502	0
Yale-TB071	Rv1305	1460997	1461291	0
Yale-TB071	Rv1483	1673409	1675012	0
Yale-TB071	Rv1694	1917939	1918747	0
Yale-TB071	Rv1908c	2153888	2156112	0
Yale-TB071	Rv2043c	2288676	2289272	0
Yale-TB071	Rv2416c	2714123	2715372	0
Yale-TB071	Rv2428	2726093	2726194	0
Yale-TB071	Rv2535c	2859299	2860451	0
Yale-TB071	Rv2983	3339068	3339763	0
Yale-TB071	Rv3261	3640493	3642882	0
Yale-TB071	Rv3547	3986794	3987300	0
Yale-TB071	Rv3795	4246586	4249653	0
Yale-TB071	Rv3854c	4326003	4327548	0
Yale-TB072	MTB000019	1473245	1473331	0
Yale-TB072	MTB000020	1473657	1476796	0
Yale-TB072	Rv0005	6571	6762	0
Yale-TB072	Rv0006	7360	7583	0
Yale-TB072	Rv0407	490733	491794	0
Yale-TB072	Rv0667	760307	761286	0
Yale-TB072	Rv0676c	775585	778906	0
Yale-TB072	Rv0678	778906	779488	0
Yale-TB072	Rv0701	800793	801462	0
Yale-TB072	Rv1173	1302805	1305502	0
Yale-TB072	Rv1305	1460997	1461291	0
Yale-TB072	Rv1483	1673409	1675012	0
Yale-TB072	Rv1694	1917939	1918747	0
Yale-TB072	Rv1908c	2153888	2156112	0
Yale-TB072	Rv2043c	2288676	2289272	0
Yale-TB072	Rv2416c	2714123	2715372	0
Yale-TB072	Rv2428	2726093	2726194	0
Yale-TB072	Rv2535c	2859299	2860451	0
Yale-TB072	Rv2983	3339068	3339763	0
Yale-TB072	Rv3261	3640493	3642882	0
Yale-TB072	Rv3547	3986794	3987300	0
Yale-TB072	Rv3795	4246586	4249653	0
Yale-TB072	Rv3854c	4326003	4327548	0
Yale-TB073	MTB000019	1473245	1473331	14
Yale-TB073	MTB000020	1473657	1476796	0
Yale-TB073	Rv0005	6571	6762	0
Yale-TB073	Rv0006	7360	7583	0
Yale-TB073	Rv0407	490733	491794	0
Yale-TB073	Rv0667	760307	761286	0
Yale-TB073	Rv0676c	775585	778906	0
Yale-TB073	Rv0678	778906	779488	0
Yale-TB073	Rv0701	800793	801462	0
Yale-TB073	Rv1173	1302805	1305502	0
Yale-TB073	Rv1305	1460997	1461291	0
Yale-TB073	Rv1483	1673409	1675012	0
Yale-TB073	Rv1694	1917939	1918747	0
Yale-TB073	Rv1908c	2153888	2156112	0
Yale-TB073	Rv2043c	2288676	2289272	0
Yale-TB073	Rv2416c	2714123	2715372	0
Yale-TB073	Rv2428	2726093	2726194	0
Yale-TB073	Rv2535c	2859299	2860451	0
Yale-TB073	Rv2983	3339068	3339763	0
Yale-TB073	Rv3261	3640493	3642882	0
Yale-TB073	Rv3547	3986794	3987300	0
Yale-TB073	Rv3795	4246586	4249653	0
Yale-TB073	Rv3854c	4326003	4327548	0
Yale-TB074	MTB000019	1473245	1473331	0
Yale-TB074	MTB000020	1473657	1476796	0
Yale-TB074	Rv0005	6571	6762	0
Yale-TB074	Rv0006	7360	7583	0
Yale-TB074	Rv0407	490733	491794	0
Yale-TB074	Rv0667	760307	761286	1
Yale-TB074	Rv0676c	775585	778906	0
Yale-TB074	Rv0678	778906	779488	0
Yale-TB074	Rv0701	800793	801462	0
Yale-TB074	Rv1173	1302805	1305502	0
Yale-TB074	Rv1305	1460997	1461291	0
Yale-TB074	Rv1483	1673409	1675012	0
Yale-TB074	Rv1694	1917939	1918747	0
Yale-TB074	Rv1908c	2153888	2156112	0
Yale-TB074	Rv2043c	2288676	2289272	0
Yale-TB074	Rv2416c	2714123	2715372	0
Yale-TB074	Rv2428	2726093	2726194	0
Yale-TB074	Rv2535c	2859299	2860451	0
Yale-TB074	Rv2983	3339068	3339763	0
Yale-TB074	Rv3261	3640493	3642882	0
Yale-TB074	Rv3547	3986794	3987300	0
Yale-TB074	Rv3795	4246586	4249653	0
Yale-TB074	Rv3854c	4326003	4327548	0
Yale-TB075	MTB000019	1473245	1473331	322
Yale-TB075	MTB000020	1473657	1476796	168
Yale-TB075	Rv0005	6571	6762	181
Yale-TB075	Rv0006	7360	7583	1945
Yale-TB075	Rv0407	490733	491794	1033
Yale-TB075	Rv0667	760307	761286	2043
Yale-TB075	Rv0676c	775585	778906	967
Yale-TB075	Rv0678	778906	779488	307
Yale-TB075	Rv0701	800793	801462	635
Yale-TB075	Rv1173	1302805	1305502	2402
Yale-TB075	Rv1305	1460997	1461291	122
Yale-TB075	Rv1483	1673409	1675012	675
Yale-TB075	Rv1694	1917939	1918747	1653
Yale-TB075	Rv1908c	2153888	2156112	493
Yale-TB075	Rv2043c	2288676	2289272	3502
Yale-TB075	Rv2416c	2714123	2715372	722
Yale-TB075	Rv2428	2726093	2726194	1123
Yale-TB075	Rv2535c	2859299	2860451	308
Yale-TB075	Rv2983	3339068	3339763	1335
Yale-TB075	Rv3261	3640493	3642882	466
Yale-TB075	Rv3547	3986794	3987300	1314
Yale-TB075	Rv3795	4246586	4249653	800
Yale-TB075	Rv3854c	4326003	4327548	818
Yale-TB076	MTB000019	1473245	1473331	127
Yale-TB076	MTB000020	1473657	1476796	64
Yale-TB076	Rv0005	6571	6762	218
Yale-TB076	Rv0006	7360	7583	684
Yale-TB076	Rv0407	490733	491794	923
Yale-TB076	Rv0667	760307	761286	1080
Yale-TB076	Rv0676c	775585	778906	501
Yale-TB076	Rv0678	778906	779488	141
Yale-TB076	Rv0701	800793	801462	207
Yale-TB076	Rv1173	1302805	1305502	1170
Yale-TB076	Rv1305	1460997	1461291	82
Yale-TB076	Rv1483	1673409	1675012	626
Yale-TB076	Rv1694	1917939	1918747	599
Yale-TB076	Rv1908c	2153888	2156112	222
Yale-TB076	Rv2043c	2288676	2289272	1267
Yale-TB076	Rv2416c	2714123	2715372	180
Yale-TB076	Rv2428	2726093	2726194	346
Yale-TB076	Rv2535c	2859299	2860451	177
Yale-TB076	Rv2983	3339068	3339763	225
Yale-TB076	Rv3261	3640493	3642882	216
Yale-TB076	Rv3547	3986794	3987300	342
Yale-TB076	Rv3795	4246586	4249653	332
Yale-TB076	Rv3854c	4326003	4327548	608
Yale-TB077	MTB000019	1473245	1473331	156
Yale-TB077	MTB000020	1473657	1476796	70
Yale-TB077	Rv0005	6571	6762	885
Yale-TB077	Rv0006	7360	7583	952
Yale-TB077	Rv0407	490733	491794	1625
Yale-TB077	Rv0667	760307	761286	1697
Yale-TB077	Rv0676c	775585	778906	837
Yale-TB077	Rv0678	778906	779488	138
Yale-TB077	Rv0701	800793	801462	231
Yale-TB077	Rv1173	1302805	1305502	1353
Yale-TB077	Rv1305	1460997	1461291	112
Yale-TB077	Rv1483	1673409	1675012	1065
Yale-TB077	Rv1694	1917939	1918747	578
Yale-TB077	Rv1908c	2153888	2156112	258
Yale-TB077	Rv2043c	2288676	2289272	1207
Yale-TB077	Rv2416c	2714123	2715372	158
Yale-TB077	Rv2428	2726093	2726194	396
Yale-TB077	Rv2535c	2859299	2860451	243
Yale-TB077	Rv2983	3339068	3339763	124
Yale-TB077	Rv3261	3640493	3642882	258
Yale-TB077	Rv3547	3986794	3987300	348
Yale-TB077	Rv3795	4246586	4249653	338
Yale-TB077	Rv3854c	4326003	4327548	1133
Yale-TB078	MTB000019	1473245	1473331	35
Yale-TB078	MTB000020	1473657	1476796	33
Yale-TB078	Rv0005	6571	6762	1006
Yale-TB078	Rv0006	7360	7583	228
Yale-TB078	Rv0407	490733	491794	434
Yale-TB078	Rv0667	760307	761286	555
Yale-TB078	Rv0676c	775585	778906	373
Yale-TB078	Rv0678	778906	779488	44
Yale-TB078	Rv0701	800793	801462	86
Yale-TB078	Rv1173	1302805	1305502	301
Yale-TB078	Rv1305	1460997	1461291	59
Yale-TB078	Rv1483	1673409	1675012	539
Yale-TB078	Rv1694	1917939	1918747	132
Yale-TB078	Rv1908c	2153888	2156112	97
Yale-TB078	Rv2043c	2288676	2289272	252
Yale-TB078	Rv2416c	2714123	2715372	40
Yale-TB078	Rv2428	2726093	2726194	98
Yale-TB078	Rv2535c	2859299	2860451	90
Yale-TB078	Rv2983	3339068	3339763	17
Yale-TB078	Rv3261	3640493	3642882	74
Yale-TB078	Rv3547	3986794	3987300	86
Yale-TB078	Rv3795	4246586	4249653	99
Yale-TB078	Rv3854c	4326003	4327548	450
Yale-TB079	MTB000019	1473245	1473331	42
Yale-TB079	MTB000020	1473657	1476796	89
Yale-TB079	Rv0005	6571	6762	1802
Yale-TB079	Rv0006	7360	7583	283
Yale-TB079	Rv0407	490733	491794	97
Yale-TB079	Rv0667	760307	761286	610
Yale-TB079	Rv0676c	775585	778906	353
Yale-TB079	Rv0678	778906	779488	63
Yale-TB079	Rv0701	800793	801462	176
Yale-TB079	Rv1173	1302805	1305502	331
Yale-TB079	Rv1305	1460997	1461291	37
Yale-TB079	Rv1483	1673409	1675012	604
Yale-TB079	Rv1694	1917939	1918747	266
Yale-TB079	Rv1908c	2153888	2156112	107
Yale-TB079	Rv2043c	2288676	2289272	310
Yale-TB079	Rv2416c	2714123	2715372	59
Yale-TB079	Rv2428	2726093	2726194	86
Yale-TB079	Rv2535c	2859299	2860451	175
Yale-TB079	Rv2983	3339068	3339763	28
Yale-TB079	Rv3261	3640493	3642882	116
Yale-TB079	Rv3547	3986794	3987300	46
Yale-TB079	Rv3795	4246586	4249653	99
Yale-TB079	Rv3854c	4326003	4327548	287
Yale-TB080	MTB000019	1473245	1473331	1
Yale-TB080	MTB000020	1473657	1476796	63
Yale-TB080	Rv0005	6571	6762	56
Yale-TB080	Rv0006	7360	7583	2
Yale-TB080	Rv0407	490733	491794	10
Yale-TB080	Rv0667	760307	761286	2
Yale-TB080	Rv0676c	775585	778906	24
Yale-TB080	Rv0678	778906	779488	8
Yale-TB080	Rv0701	800793	801462	4
Yale-TB080	Rv1173	1302805	1305502	4
Yale-TB080	Rv1305	1460997	1461291	33
Yale-TB080	Rv1483	1673409	1675012	5
Yale-TB080	Rv1694	1917939	1918747	1
Yale-TB080	Rv1908c	2153888	2156112	1
Yale-TB080	Rv2043c	2288676	2289272	3
Yale-TB080	Rv2416c	2714123	2715372	1
Yale-TB080	Rv2428	2726093	2726194	7
Yale-TB080	Rv2535c	2859299	2860451	6
Yale-TB080	Rv2983	3339068	3339763	0
Yale-TB080	Rv3261	3640493	3642882	1
Yale-TB080	Rv3547	3986794	3987300	3
Yale-TB080	Rv3795	4246586	4249653	1
Yale-TB080	Rv3854c	4326003	4327548	7
Yale-TB081	MTB000019	1473245	1473331	0
Yale-TB081	MTB000020	1473657	1476796	2
Yale-TB081	Rv0005	6571	6762	25
Yale-TB081	Rv0006	7360	7583	16
Yale-TB081	Rv0407	490733	491794	1
Yale-TB081	Rv0667	760307	761286	1
Yale-TB081	Rv0676c	775585	778906	6
Yale-TB081	Rv0678	778906	779488	0
Yale-TB081	Rv0701	800793	801462	4
Yale-TB081	Rv1173	1302805	1305502	1
Yale-TB081	Rv1305	1460997	1461291	0
Yale-TB081	Rv1483	1673409	1675012	11
Yale-TB081	Rv1694	1917939	1918747	3
Yale-TB081	Rv1908c	2153888	2156112	1
Yale-TB081	Rv2043c	2288676	2289272	2
Yale-TB081	Rv2416c	2714123	2715372	0
Yale-TB081	Rv2428	2726093	2726194	2
Yale-TB081	Rv2535c	2859299	2860451	0
Yale-TB081	Rv2983	3339068	3339763	0
Yale-TB081	Rv3261	3640493	3642882	13
Yale-TB081	Rv3547	3986794	3987300	0
Yale-TB081	Rv3795	4246586	4249653	2
Yale-TB081	Rv3854c	4326003	4327548	2
Yale-TB082	MTB000019	1473245	1473331	0
Yale-TB082	MTB000020	1473657	1476796	0
Yale-TB082	Rv0005	6571	6762	0
Yale-TB082	Rv0006	7360	7583	0
Yale-TB082	Rv0407	490733	491794	0
Yale-TB082	Rv0667	760307	761286	0
Yale-TB082	Rv0676c	775585	778906	0
Yale-TB082	Rv0678	778906	779488	0
Yale-TB082	Rv0701	800793	801462	1
Yale-TB082	Rv1173	1302805	1305502	0
Yale-TB082	Rv1305	1460997	1461291	0
Yale-TB082	Rv1483	1673409	1675012	0
Yale-TB082	Rv1694	1917939	1918747	4
Yale-TB082	Rv1908c	2153888	2156112	0
Yale-TB082	Rv2043c	2288676	2289272	0
Yale-TB082	Rv2416c	2714123	2715372	0
Yale-TB082	Rv2428	2726093	2726194	0
Yale-TB082	Rv2535c	2859299	2860451	0
Yale-TB082	Rv2983	3339068	3339763	0
Yale-TB082	Rv3261	3640493	3642882	0
Yale-TB082	Rv3547	3986794	3987300	0
Yale-TB082	Rv3795	4246586	4249653	0
